season,latitude,longitude,count
Spring,-18.0,122.0,423
Spring,-18.0,123.0,34
Spring,-18.0,128.0,7
Spring,-18.0,141.0,8
Spring,-18.0,142.0,4
Spring,-18.0,143.0,58
Spring,-18.0,144.0,35
Spring,-18.0,145.0,17
Spring,-18.0,146.0,213
Spring,-19.0,127.0,2
Spring,-19.0,134.0,2
Spring,-19.0,143.0,4
Spring,-19.0,144.0,8
Spring,-19.0,146.0,98
Spring,-19.0,147.0,294
Spring,-20.0,119.0,38
Spring,-20.0,120.0,4
Spring,-20.0,121.0,32
Spring,-20.0,134.0,3
Spring,-20.0,139.0,5
Spring,-20.0,146.0,9
Spring,-20.0,147.0,5
Spring,-20.0,148.0,23
Spring,-21.0,117.0,22
Spring,-21.0,121.0,1
Spring,-21.0,139.0,7
Spring,-21.0,140.0,33
Spring,-21.0,143.0,1
Spring,-21.0,144.0,3
Spring,-21.0,145.0,7
Spring,-21.0,146.0,1
Spring,-21.0,149.0,50
Spring,-22.0,114.0,7
Spring,-22.0,116.0,3
Spring,-22.0,120.0,3
Spring,-22.0,121.0,1
Spring,-22.0,122.0,1
Spring,-22.0,133.0,1
Spring,-22.0,141.0,1
Spring,-22.0,143.0,12
Spring,-22.0,147.0,2
Spring,-22.0,148.0,2
Spring,-22.0,149.0,11
Spring,-22.0,150.0,4
Spring,-23.0,114.0,1
Spring,-23.0,119.0,5
Spring,-23.0,127.0,6
Spring,-23.0,131.0,8
Spring,-23.0,132.0,1
Spring,-23.0,140.0,19
Spring,-23.0,142.0,3
Spring,-23.0,143.0,27
Spring,-23.0,144.0,14
Spring,-23.0,145.0,2
Spring,-23.0,150.0,13
Spring,-23.0,151.0,62
Spring,-24.0,132.0,22
Spring,-24.0,133.0,26
Spring,-24.0,134.0,117
Spring,-24.0,139.0,4
Spring,-24.0,145.0,8
Spring,-24.0,148.0,5
Spring,-24.0,149.0,9
Spring,-24.0,151.0,29
Spring,-24.0,152.0,100
Spring,-25.0,129.0,1
Spring,-25.0,131.0,19
Spring,-25.0,133.0,4
Spring,-25.0,140.0,6
Spring,-25.0,143.0,5
Spring,-25.0,149.0,1
Spring,-25.0,150.0,2
Spring,-25.0,151.0,4
Spring,-25.0,152.0,161
Spring,-25.0,153.0,118
Spring,-26.0,114.0,3
Spring,-26.0,137.0,1
Spring,-26.0,138.0,1
Spring,-26.0,139.0,10
Spring,-26.0,140.0,1
Spring,-26.0,146.0,6
Spring,-26.0,147.0,6
Spring,-26.0,148.0,3
Spring,-26.0,150.0,9
Spring,-26.0,152.0,26
Spring,-26.0,153.0,280
Spring,-27.0,146.0,6
Spring,-27.0,149.0,9
Spring,-27.0,150.0,6
Spring,-27.0,151.0,16
Spring,-27.0,152.0,69
Spring,-27.0,153.0,1209
Spring,-28.0,115.0,2
Spring,-28.0,135.0,2
Spring,-28.0,136.0,2
Spring,-28.0,146.0,66
Spring,-28.0,147.0,3
Spring,-28.0,149.0,8
Spring,-28.0,151.0,17
Spring,-28.0,152.0,106
Spring,-28.0,153.0,464
Spring,-28.0,154.0,142
Spring,-29.0,138.0,6
Spring,-29.0,140.0,4
Spring,-29.0,141.0,13
Spring,-29.0,142.0,36
Spring,-29.0,144.0,19
Spring,-29.0,145.0,17
Spring,-29.0,152.0,51
Spring,-29.0,153.0,56
Spring,-29.0,154.0,150
Spring,-30.0,117.0,23
Spring,-30.0,121.0,6
Spring,-30.0,138.0,14
Spring,-30.0,139.0,12
Spring,-30.0,146.0,82
Spring,-30.0,150.0,17
Spring,-30.0,151.0,10
Spring,-30.0,152.0,2
Spring,-30.0,153.0,121
Spring,-31.0,116.0,6
Spring,-31.0,131.0,1
Spring,-31.0,138.0,4
Spring,-31.0,142.0,20
Spring,-31.0,145.0,6
Spring,-31.0,146.0,101
Spring,-31.0,149.0,32
Spring,-31.0,151.0,26
Spring,-31.0,153.0,182
Spring,-32.0,116.0,517
Spring,-32.0,117.0,45
Spring,-32.0,143.0,15
Spring,-32.0,146.0,12
Spring,-32.0,149.0,52
Spring,-32.0,151.0,40
Spring,-32.0,152.0,59
Spring,-32.0,153.0,100
Spring,-33.0,117.0,170
Spring,-33.0,142.0,3
Spring,-33.0,148.0,6
Spring,-33.0,149.0,12
Spring,-33.0,150.0,94
Spring,-33.0,151.0,48
Spring,-33.0,152.0,59
Spring,-34.0,139.0,36
